keyword,knowledge,category
"870436","大地电气","ashare"
"870508","丰安股份","ashare"
"870656","海昇药业","ashare"
"870726","鸿智科技","ashare"
"870866","绿亨科技","ashare"
"870976","视声智能","ashare"
"871245","威博液压","ashare"
"871263","莱赛激光","ashare"
"871396","常辅股份","ashare"
"871478","巨能股份","ashare"
"871553","凯腾精工","ashare"
"871634","新威凌","ashare"
"871642","通易航天","ashare"
"871694","中裕科技","ashare"
"871753","天纺标","ashare"
"871857","泓禧科技","ashare"
"871970","大禹生物","ashare"
"871981","晶赛科技","ashare"
"872190","雷神科技","ashare"
"872351","华光源海","ashare"
"872374","云里物里","ashare"
"872392","佳合科技","ashare"
"872541","铁大科技","ashare"
"872808","曙光数创","ashare"
"872895","花溪科技","ashare"
"872925","锦好医疗","ashare"
"872931","无锡鼎邦","ashare"
"872953","国子软件","ashare"
"873001","纬达光电","ashare"
"873122","中纺标","ashare"
"873132","泰鹏智能","ashare"
"873152","天宏锂电","ashare"
"873167","新赣江","ashare"
"873169","七丰精工","ashare"
"873223","荣亿精密","ashare"
"873305","九菱科技","ashare"
"873339","恒太照明","ashare"
"873527","夜光明","ashare"
"873570","坤博精工","ashare"
"873576","天力复合","ashare"
"873593","鼎智科技","ashare"
"873665","科强股份","ashare"
"873679","前进科技","ashare"
"873690","捷众科技","ashare"
"873693","阿为特","ashare"
"873703","广厦环能","ashare"
"873706","铁拓机械","ashare"
"873726","卓兆点胶","ashare"
"873806","云星宇","ashare"
"873833","美心翼申","ashare"
"920002","万达轴承","ashare"
"920008","成电光信","ashare"
"920016","中草香料","ashare"
"920019","铜冠矿建","ashare"
"920060","万源通","ashare"
"920066","科拜尔","ashare"
"920082","方正阀门","ashare"
"920088","科力股份","ashare"
"920098","科隆新材","ashare"
"920099","瑞华技术","ashare"
"920106","林泰新材","ashare"
"920108","N宏海","ashare"
"920111","聚星科技","ashare"
"920116","星图测控","ashare"
"920118","太湖远大","ashare"
"920128","胜业电气","ashare"
"600000","浦发银行","ashare"
"600004","白云机场","ashare"
"600006","东风股份","ashare"
"600007","中国国贸","ashare"
"600008","首创环保","ashare"
"600009","上海机场","ashare"
"600010","包钢股份","ashare"
"600011","华能国际","ashare"
"600012","皖通高速","ashare"
"600015","华夏银行","ashare"
"600016","民生银行","ashare"
"600017","日照港","ashare"
"600018","上港集团","ashare"
"600019","宝钢股份","ashare"
"600020","中原高速","ashare"
"600021","上海电力","ashare"
"600022","山东钢铁","ashare"
"600023","浙能电力","ashare"
"600025","华能水电","ashare"
"600026","中远海能","ashare"
"600027","华电国际","ashare"
"600028","中国石化","ashare"
"600029","南方航空","ashare"
"600030","中信证券","ashare"
"600031","三一重工","ashare"
"600032","浙江新能","ashare"
"600033","福建高速","ashare"
"600035","楚天高速","ashare"
"600036","招商银行","ashare"
"600037","歌华有线","ashare"
"600038","中直股份","ashare"
"600039","四川路桥","ashare"
"600048","保利发展","ashare"
"600050","中国联通","ashare"
"600051","宁波联合","ashare"
"600052","东望时代","ashare"
"600053","九鼎投资","ashare"
"600054","黄山旅游","ashare"
"600055","万东医疗","ashare"
"600056","中国医药","ashare"
"600057","厦门象屿","ashare"
"600058","五矿发展","ashare"
"600059","古越龙山","ashare"
"600060","海信视像","ashare"
"600061","国投资本","ashare"
"600062","华润双鹤","ashare"
"600063","皖维高新","ashare"
"600064","南京高科","ashare"
"600066","宇通客车","ashare"
"600067","冠城新材","ashare"
"600070","*ST富润","ashare"
"600071","凤凰光学","ashare"
"600072","中船科技","ashare"
"600073","光明肉业","ashare"
"600075","新疆天业","ashare"
"600076","康欣新材","ashare"
"600078","澄星股份","ashare"
"600079","人福医药","ashare"
"600080","金花股份","ashare"
"600081","东风科技","ashare"
"600082","海泰发展","ashare"
"600083","*ST博信","ashare"
"600084","中信尼雅","ashare"
"600085","同仁堂","ashare"
"600088","中视传媒","ashare"
"600089","特变电工","ashare"
"600094","大名城","ashare"
"600095","湘财股份","ashare"
"600096","云天化","ashare"
"600097","开创国际","ashare"
"600098","广州发展","ashare"
"600099","林海股份","ashare"
"600100","同方股份","ashare"
"600101","明星电力","ashare"
"600103","青山纸业","ashare"
"600104","上汽集团","ashare"
"600105","永鼎股份","ashare"
"600106","重庆路桥","ashare"
"600107","美尔雅","ashare"
"600108","亚盛集团","ashare"
"600109","国金证券","ashare"
"600110","诺德股份","ashare"
"600111","北方稀土","ashare"
"600113","浙江东日","ashare"
"600114","东睦股份","ashare"
"600115","中国东航","ashare"
"600116","三峡水利","ashare"
"600117","西宁特钢","ashare"
"600118","中国卫星","ashare"
"600119","长江投资","ashare"
"600120","浙江东方","ashare"
"600121","郑州煤电","ashare"
"600123","兰花科创","ashare"
"600125","铁龙物流","ashare"
"600126","杭钢股份","ashare"
"600127","金健米业","ashare"
"600128","苏豪弘业","ashare"
"600129","太极集团","ashare"
"600130","波导股份","ashare"
"600131","国网信通","ashare"
"600132","重庆啤酒","ashare"
"600133","东湖高新","ashare"
"600135","乐凯胶片","ashare"
"600136","ST明诚","ashare"
"600137","浪莎股份","ashare"
"600138","中青旅","ashare"
"600141","兴发集团","ashare"
"600143","金发科技","ashare"
"600148","长春一东","ashare"
"600149","廊坊发展","ashare"
"600150","中国船舶","ashare"
"600151","航天机电","ashare"
"600152","维科技术","ashare"
"600153","建发股份","ashare"
"600155","华创云信","ashare"
"600156","华升股份","ashare"
"600157","永泰能源","ashare"
"600158","中体产业","ashare"
"600159","大龙地产","ashare"
"600160","巨化股份","ashare"
"600161","天坛生物","ashare"
"600162","香江控股","ashare"
"600163","中闽能源","ashare"
"600165","*ST宁科","ashare"
"600166","福田汽车","ashare"
"600167","联美控股","ashare"
"600168","武汉控股","ashare"
"600169","太原重工","ashare"
"600170","上海建工","ashare"
"600171","上海贝岭","ashare"
"600172","黄河旋风","ashare"
"600173","卧龙地产","ashare"
"600176","中国巨石","ashare"
"600177","雅戈尔","ashare"
"600178","东安动力","ashare"
"600179","安通控股","ashare"
"600180","瑞茂通","ashare"
"600182","S佳通","ashare"
"600183","生益科技","ashare"
"600184","光电股份","ashare"
"600185","格力地产","ashare"
"600186","莲花控股","ashare"
"600187","国中水务","ashare"
"600188","兖矿能源","ashare"
"600189","泉阳泉","ashare"
"600190","ST锦港","ashare"
"600191","华资实业","ashare"
"600192","长城电工","ashare"
"600193","创兴资源","ashare"
"600195","中牧股份","ashare"
"600196","复星医药","ashare"
"600197","伊力特","ashare"
"600198","大唐电信","ashare"
"600199","金种子酒","ashare"
"600200","江苏吴中","ashare"
"600201","生物股份","ashare"
"600202","哈空调","ashare"
"600203","福日电子","ashare"
"600206","有研新材","ashare"
"600207","安彩高科","ashare"
"600208","衢州发展","ashare"
"600210","紫江企业","ashare"
"600211","西藏药业","ashare"
"600212","绿能慧充","ashare"
"600215","派斯林","ashare"
"600216","浙江医药","ashare"
"600217","中再资环","ashare"
"600218","全柴动力","ashare"
"600219","南山铝业","ashare"
"600221","海航控股","ashare"
"600222","太龙药业","ashare"
"600223","福瑞达","ashare"
"600225","*ST卓朗","ashare"
"600226","亨通股份","ashare"
"600227","赤天化","ashare"
"600228","返利科技","ashare"
"600229","城市传媒","ashare"
"600230","沧州大化","ashare"
"600231","凌钢股份","ashare"
"600232","金鹰股份","ashare"
"600233","圆通速递","ashare"
"600234","*ST科新","ashare"
"600235","民丰特纸","ashare"
"600236","桂冠电力","ashare"
"600237","铜峰电子","ashare"
"600238","海南椰岛","ashare"
"600239","云南城投","ashare"
"600241","时代万恒","ashare"
"600243","青海华鼎","ashare"
"600246","万通发展","ashare"
"600248","陕建股份","ashare"
"600249","两面针","ashare"
"600250","南京商旅","ashare"
"600251","冠农股份","ashare"
"600252","中恒集团","ashare"
"600255","鑫科材料","ashare"
"600256","广汇能源","ashare"
"600257","大湖股份","ashare"
"600258","首旅酒店","ashare"
"600259","广晟有色","ashare"
"600261","阳光照明","ashare"
"600262","北方股份","ashare"
"600265","景谷林业","ashare"
"600266","城建发展","ashare"
"600267","海正药业","ashare"
"600268","国电南自","ashare"
"600269","赣粤高速","ashare"
"600271","航天信息","ashare"
"600272","开开实业","ashare"
"600273","嘉化能源","ashare"
"600276","恒瑞医药","ashare"
"600278","东方创业","ashare"
"600279","重庆港","ashare"
"600280","中央商场","ashare"
"600281","华阳新材","ashare"
"600282","南钢股份","ashare"
"600283","钱江水利","ashare"
"600284","浦东建设","ashare"
"600285","羚锐制药","ashare"
"600287","ST舜天","ashare"
"600288","大恒科技","ashare"
"600289","*ST信通","ashare"
"600292","远达环保","ashare"
"600293","三峡新材","ashare"
"600295","鄂尔多斯","ashare"
"600298","安琪酵母","ashare"
"600299","安迪苏","ashare"
"600300","维维股份","ashare"
"600301","华锡有色","ashare"
"600302","标准股份","ashare"
"600303","ST曙光","ashare"
"600305","恒顺醋业","ashare"
"600307","酒钢宏兴","ashare"
"600308","华泰股份","ashare"
"600309","万华化学","ashare"
"600310","广西能源","ashare"
"600312","平高电气","ashare"
"600313","农发种业","ashare"
"600315","上海家化","ashare"
"600316","洪都航空","ashare"
"600318","新力金融","ashare"
"600319","亚星化学","ashare"
"600320","振华重工","ashare"
"600322","津投城开","ashare"
"600323","瀚蓝环境","ashare"
"600325","华发股份","ashare"
"600326","西藏天路","ashare"
"600327","大东方","ashare"
"600328","中盐化工","ashare"
"600329","达仁堂","ashare"
"600330","天通股份","ashare"
"600331","宏达股份","ashare"
"600332","白云山","ashare"
"600333","长春燃气","ashare"
"600335","国机汽车","ashare"
"600336","澳柯玛","ashare"
"600337","美克家居","ashare"
"600338","西藏珠峰","ashare"
"600339","中油工程","ashare"
"600340","华夏幸福","ashare"
"600343","航天动力","ashare"
"600345","长江通信","ashare"
"600346","恒力石化","ashare"
"600348","华阳股份","ashare"
"600350","山东高速","ashare"
"600351","亚宝药业","ashare"
"600352","浙江龙盛","ashare"
"600353","旭光电子","ashare"
"600354","敦煌种业","ashare"
"600355","精伦电子","ashare"
"600356","恒丰纸业","ashare"
"600358","国旅联合","ashare"
"600359","新农开发","ashare"
"600360","ST华微","ashare"
"600361","创新新材","ashare"
"600362","江西铜业","ashare"
"600363","联创光电","ashare"
"600365","ST通葡","ashare"
"600366","宁波韵升","ashare"
"600367","红星发展","ashare"
"600368","五洲交通","ashare"
"600369","西南证券","ashare"
"600370","三房巷","ashare"
"600371","万向德农","ashare"
"600372","中航机载","ashare"
"600373","中文传媒","ashare"
"600375","*ST汉马","ashare"
"600376","首开股份","ashare"
"600377","宁沪高速","ashare"
"600378","昊华科技","ashare"
"600379","宝光股份","ashare"
"600380","健康元","ashare"
"600381","ST春天","ashare"
"600382","广东明珠","ashare"
"600383","金地集团","ashare"
"600386","北巴传媒","ashare"
"600387","*ST海越","ashare"
"600388","龙净环保","ashare"
"600389","江山股份","ashare"
"600390","五矿资本","ashare"
"600391","航发科技","ashare"
"600392","盛和资源","ashare"
"600395","盘江股份","ashare"
"600396","华电辽能","ashare"
"600397","安源煤业","ashare"
"600398","海澜之家","ashare"
"600399","抚顺特钢","ashare"
"600400","红豆股份","ashare"
"600403","大有能源","ashare"
"600405","动力源","ashare"
"600406","国电南瑞","ashare"
"600408","安泰集团","ashare"
"600409","三友化工","ashare"
"600410","华胜天成","ashare"
"600415","小商品城","ashare"
"600416","湘电股份","ashare"
"600418","江淮汽车","ashare"
"600419","天润乳业","ashare"
"600420","国药现代","ashare"
"600421","华嵘控股","ashare"
"600422","昆药集团","ashare"
"600423","柳化股份","ashare"
"600425","青松建化","ashare"
"600426","华鲁恒升","ashare"
"600428","中远海特","ashare"
"600429","三元股份","ashare"
"600433","冠豪高新","ashare"
"600435","北方导航","ashare"
"600436","片仔癀","ashare"
"600438","通威股份","ashare"
"600439","瑞贝卡","ashare"
"600444","国机通用","ashare"
"600446","金证股份","ashare"
"600448","华纺股份","ashare"
"600449","宁夏建材","ashare"
"600452","涪陵电力","ashare"
"600455","博通股份","ashare"
"600456","宝钛股份","ashare"
"600458","时代新材","ashare"
"600459","贵研铂业","ashare"
"600460","士兰微","ashare"
"600461","洪城环境","ashare"
"600462","*ST九有","ashare"
"600463","空港股份","ashare"
"600467","好当家","ashare"
"600468","百利电气","ashare"
"600469","风神股份","ashare"
"600470","六国化工","ashare"
"600475","华光环能","ashare"
"600476","湘邮科技","ashare"
"600477","杭萧钢构","ashare"
"600478","科力远","ashare"
"600479","千金药业","ashare"
"600480","凌云股份","ashare"
"600481","双良节能","ashare"
"600482","中国动力","ashare"
"600483","福能股份","ashare"
"600486","扬农化工","ashare"
"600487","亨通光电","ashare"
"600488","津药药业","ashare"
"600489","中金黄金","ashare"
"600490","鹏欣资源","ashare"
"600491","龙元建设","ashare"
"600493","凤竹纺织","ashare"
"600495","晋西车轴","ashare"
"600496","精工钢构","ashare"
"600497","驰宏锌锗","ashare"
"600498","烽火通信","ashare"
"600499","科达制造","ashare"
"600500","中化国际","ashare"
"600501","航天晨光","ashare"
"600502","安徽建工","ashare"
"600503","华丽家族","ashare"
"600505","西昌电力","ashare"
"600506","统一股份","ashare"
"600507","方大特钢","ashare"
"600508","上海能源","ashare"
"600509","天富能源","ashare"
"600510","黑牡丹","ashare"
"600511","国药股份","ashare"
"600512","腾达建设","ashare"
"600513","联环药业","ashare"
"600515","海南机场","ashare"
"600516","方大炭素","ashare"
"600517","国网英大","ashare"
"600518","康美药业","ashare"
"600519","贵州茅台","ashare"
"600520","文一科技","ashare"
"600521","华海药业","ashare"
"600522","中天科技","ashare"
"600523","贵航股份","ashare"
"600525","长园集团","ashare"
"600526","菲达环保","ashare"
"600527","江南高纤","ashare"
"600528","中铁工业","ashare"
"600529","山东药玻","ashare"
"600530","交大昂立","ashare"
"600531","豫光金铅","ashare"
"600533","栖霞建设","ashare"
"600535","天士力","ashare"
"600536","中国软件","ashare"
"600537","亿晶光电","ashare"
"600538","国发股份","ashare"
"600539","狮头股份","ashare"
"600540","新赛股份","ashare"
"600543","莫高股份","ashare"
"600545","卓郎智能","ashare"
"600546","山煤国际","ashare"
"600547","山东黄金","ashare"
"600548","深高速","ashare"
"600549","厦门钨业","ashare"
"600550","保变电气","ashare"
"600551","时代出版","ashare"
"600552","凯盛科技","ashare"
"600556","天下秀","ashare"
"600557","康缘药业","ashare"
"600558","大西洋","ashare"
"600559","老白干酒","ashare"
"600560","金自天正","ashare"
"600561","江西长运","ashare"
"600562","国睿科技","ashare"
"600563","法拉电子","ashare"
"600566","济川药业","ashare"
"600567","山鹰国际","ashare"
"600568","ST中珠","ashare"
"600569","安阳钢铁","ashare"
"600570","恒生电子","ashare"
"600571","信雅达","ashare"
"600572","康恩贝","ashare"
"600573","惠泉啤酒","ashare"
"600575","淮河能源","ashare"
"600576","祥源文旅","ashare"
"600577","精达股份","ashare"
"600578","京能电力","ashare"
"600579","中化装备","ashare"
"600580","卧龙电驱","ashare"
"600581","八一钢铁","ashare"
"600582","天地科技","ashare"
"600583","海油工程","ashare"
"600584","长电科技","ashare"
"600585","海螺水泥","ashare"
"600586","金晶科技","ashare"
"600587","新华医疗","ashare"
"600588","用友网络","ashare"
"600589","大位科技","ashare"
"600590","泰豪科技","ashare"
"600592","龙溪股份","ashare"
"600593","大连圣亚","ashare"
"600594","益佰制药","ashare"
"600595","中孚实业","ashare"
"600596","新安股份","ashare"
"600597","光明乳业","ashare"
"600598","北大荒","ashare"
"600599","ST熊猫","ashare"
"600600","青岛啤酒","ashare"
"600601","方正科技","ashare"
"600602","云赛智联","ashare"
"600603","ST广物","ashare"
"600604","市北高新","ashare"
"600605","汇通能源","ashare"
"600606","绿地控股","ashare"
"600608","ST沪科","ashare"
"600609","金杯汽车","ashare"
"600610","中毅达","ashare"
"600611","大众交通","ashare"
"600612","老凤祥","ashare"
"600613","神奇制药","ashare"
"600615","丰华股份","ashare"
"600616","金枫酒业","ashare"
"600617","国新能源","ashare"
"600618","氯碱化工","ashare"
"600619","海立股份","ashare"
"600620","天宸股份","ashare"
"600621","华鑫股份","ashare"
"600622","光大嘉宝","ashare"
"600623","华谊集团","ashare"
"600624","复旦复华","ashare"
"600626","申达股份","ashare"
"600628","新世界","ashare"
"600629","华建集团","ashare"
"600630","龙头股份","ashare"
"600633","浙数文化","ashare"
"600635","大众公用","ashare"
"600636","国新文化","ashare"
"600637","东方明珠","ashare"
"600638","新黄浦","ashare"
"600639","浦东金桥","ashare"
"600640","国脉文化","ashare"
"600641","万业企业","ashare"
"600642","申能股份","ashare"
"600643","爱建集团","ashare"
"600644","乐山电力","ashare"
"600645","中源协和","ashare"
"600648","外高桥","ashare"
"600649","城投控股","ashare"
"600650","锦江在线","ashare"
"600651","飞乐音响","ashare"
"600653","申华控股","ashare"
"600654","中安科","ashare"
"600655","豫园股份","ashare"
"600657","信达地产","ashare"
"600658","电子城","ashare"
"600660","福耀玻璃","ashare"
"600661","昂立教育","ashare"
"600662","外服控股","ashare"
"600663","陆家嘴","ashare"
"600664","哈药股份","ashare"
"600665","天地源","ashare"
"600666","奥瑞德","ashare"
"600667","太极实业","ashare"
"600668","尖峰集团","ashare"
"600671","ST目药","ashare"
"600673","东阳光","ashare"
"600674","川投能源","ashare"
"600675","中华企业","ashare"
"600676","交运股份","ashare"
"600678","四川金顶","ashare"
"600679","上海凤凰","ashare"
"600681","百川能源","ashare"
"600682","南京新百","ashare"
"600683","京投发展","ashare"
"600684","珠江股份","ashare"
"600685","中船防务","ashare"
"600686","金龙汽车","ashare"
"600688","上海石化","ashare"
"600689","上海三毛","ashare"
"600690","海尔智家","ashare"
"600691","阳煤化工","ashare"
"600692","亚通股份","ashare"
"600693","东百集团","ashare"
"600694","大商股份","ashare"
"600696","岩石股份","ashare"
"600697","欧亚集团","ashare"
"600698","湖南天雁","ashare"
"600699","均胜电子","ashare"
"600702","舍得酒业","ashare"
"600703","三安光电","ashare"
"600704","物产中大","ashare"
"600705","中航产融","ashare"
"600706","曲江文旅","ashare"
"600707","彩虹股份","ashare"
"600708","光明地产","ashare"
"600710","苏美达","ashare"
"600711","ST盛屯","ashare"
"600712","南宁百货","ashare"
"600713","南京医药","ashare"
"600714","金瑞矿业","ashare"
"600715","*ST文投","ashare"
"600716","凤凰股份","ashare"
"600717","天津港","ashare"
"600718","东软集团","ashare"
"600719","大连热电","ashare"
"600720","中交设计","ashare"
"600721","百花医药","ashare"
"600722","金牛化工","ashare"
"600724","宁波富达","ashare"
"600725","云维股份","ashare"
"600726","华电能源","ashare"
"600727","鲁北化工","ashare"
"600728","佳都科技","ashare"
"600729","重庆百货","ashare"
"600730","中国高科","ashare"
"600731","湖南海利","ashare"
"600732","爱旭股份","ashare"
"600733","北汽蓝谷","ashare"
"600734","实达集团","ashare"
"600735","新华锦","ashare"
"600736","苏州高新","ashare"
"600737","中粮糖业","ashare"
"600738","丽尚国潮","ashare"
"600739","辽宁成大","ashare"
"600740","山西焦化","ashare"
"600741","华域汽车","ashare"
"600742","一汽富维","ashare"
"600743","华远地产","ashare"
"600744","华银电力","ashare"
"600745","闻泰科技","ashare"
"600746","江苏索普","ashare"
"600748","上实发展","ashare"
"600749","西藏旅游","ashare"
"600750","江中药业","ashare"
"600751","海航科技","ashare"
"600753","庚星股份","ashare"
"600754","锦江酒店","ashare"
"600755","厦门国贸","ashare"
"600756","浪潮软件","ashare"
"600757","长江传媒","ashare"
"600758","辽宁能源","ashare"
"600759","洲际油气","ashare"
"600760","中航沈飞","ashare"
"600761","安徽合力","ashare"
"600763","通策医疗","ashare"
"600764","中国海防","ashare"
"600765","中航重机","ashare"
"600768","宁波富邦","ashare"
"600769","祥龙电业","ashare"
"600770","综艺股份","ashare"
"600771","广誉远","ashare"
"600773","西藏城投","ashare"
"600774","汉商集团","ashare"
"600775","南京熊猫","ashare"
"600776","东方通信","ashare"
"600777","ST新潮","ashare"
"600778","友好集团","ashare"
"600779","水井坊","ashare"
"600780","通宝能源","ashare"
"600782","新钢股份","ashare"
"600783","鲁信创投","ashare"
"600784","鲁银投资","ashare"
"600785","新华百货","ashare"
"600787","中储股份","ashare"
"600789","鲁抗医药","ashare"
"600790","轻纺城","ashare"
"600791","京能置业","ashare"
"600792","云煤能源","ashare"
"600793","宜宾纸业","ashare"
"600794","保税科技","ashare"
"600795","国电电力","ashare"
"600796","钱江生化","ashare"
"600797","浙大网新","ashare"
"600798","宁波海运","ashare"
"600800","渤海化学","ashare"
"600801","华新水泥","ashare"
"600802","福建水泥","ashare"
"600803","新奥股份","ashare"
"600804","*ST鹏博","ashare"
"600805","悦达投资","ashare"
"600807","济高发展","ashare"
"600808","马钢股份","ashare"
"600809","山西汾酒","ashare"
"600810","神马股份","ashare"
"600811","东方集团","ashare"
"600812","华北制药","ashare"
"600814","杭州解百","ashare"
"600815","厦工股份","ashare"
"600816","建元信托","ashare"
"600817","宇通重工","ashare"
"600818","中路股份","ashare"
"600819","耀皮玻璃","ashare"
"600820","隧道股份","ashare"
"600821","金开新能","ashare"
"600822","上海物贸","ashare"
"600824","益民集团","ashare"
"600825","新华传媒","ashare"
"600826","兰生股份","ashare"
"600827","百联股份","ashare"
"600828","茂业商业","ashare"
"600829","人民同泰","ashare"
"600830","香溢融通","ashare"
"600831","ST广网","ashare"
"600833","第一医药","ashare"
"600834","申通地铁","ashare"
"600835","上海机电","ashare"
"600837","海通证券","ashare"
"600838","上海九百","ashare"
"600839","四川长虹","ashare"
"600841","动力新科","ashare"
"600843","上工申贝","ashare"
"600844","丹化科技","ashare"
"600845","宝信软件","ashare"
"600846","同济科技","ashare"
"600847","万里股份","ashare"
"600848","上海临港","ashare"
"600850","电科数字","ashare"
